Unique_Identifier,Collection_Name,ISO_Code,Painting_Title,Painting_Description,Date_Painted_Start,Date_Painted_End,Artist_Name_INPUT,Artist_Dates_INPUT,Category,Tags,Painting_Title_Capitals
TWW0000001373,Bristol Museum & Art Gallery,ENG,"Barstaple's Almhouses, Trinity Hospital, Old Market",,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,public spaces,"Barstaple's Almhouses, Trinity Hospital, Old Market"
TWW0000001374,Bristol Museum & Art Gallery,ENG,"Barstaple's Almhouses, Trinity Hospital, Old Market",,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,public spaces,"Barstaple's Almhouses, Trinity Hospital, Old Market"
TWW0000001375,Bristol Museum & Art Gallery,ENG,"Barstaple's Almhouses, Trinity Hospital, Old Market",,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,public spaces,"Barstaple's Almhouses, Trinity Hospital, Old Market"
TWW0000001376,Bristol Museum & Art Gallery,ENG,"Alderman Stephens' Almshouses, Old Market",,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,"public spaces,roads","Alderman Stephens' Almshouses, Old Market"
TWW0000001377,Bristol Museum & Art Gallery,ENG,"Alderman Stephens' Almshouses, Old Market",,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,"public spaces,monuments","Alderman Stephens' Almshouses, Old Market"
TWW0000001378,Bristol Museum & Art Gallery,ENG,Trinity Chapel from Barstaple's Almhouses,,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,"domestic life,residential buildings,townscapes,roads",Trinity Chapel Barstaple's Almhouses
TWW0000001379,Bristol Museum & Art Gallery,ENG,St. Philip's from Slip at Temple Backs,,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,"domestic life,residential buildings,townscapes,architecture",St. Philip's Slip Temple Backs
TWW0000001380,Bristol Museum & Art Gallery,ENG,The Mouth of Castle Ditch,,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,"domestic life,residential buildings,townscapes,rivers",The Mouth Castle Ditch
TWW0000001381,Bristol Museum & Art Gallery,ENG,Glasshouses in St Philip's,,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,"industries,manufacturing,factories",Glasshouses St Philip's
TWW0000001382,Bristol Museum & Art Gallery,ENG,New Gas Works,,1821,1821,Hugh O'Neill,1784-1824,Buildings & Architecture,"rivers,forts,residential buildings",New Gas Works
TWW0000001383,Bristol Museum & Art Gallery,ENG,"Entrance to the Pied Poudre Court, and the 'Stag and Hounds', Old Market",,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,"roads,residential buildings,public spaces","Entrance Pied Poudre Court, 'Stag Hounds', Old Market"
TWW0000001384,Bristol Museum & Art Gallery,ENG,Mary-le-Port Church,,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,"religious buildings,roads",Mary-le-Port Church
TWW0000001385,Bristol Museum & Art Gallery,ENG,Corner of High Street and Mary-le-Port Street,,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,"roads,residential buildings,public spaces",Corner High Street Mary-le-Port Street
TWW0000001386,Bristol Museum & Art Gallery,ENG,Old Houses adjoining Mary-le-Port Church,,1820,1820,Hugh O'Neill,1784-1824,Buildings & Architecture,"townscapes,residential buildings",Old Houses Mary-le-Port Church
TWW0000009242,Penlee House Gallery & Museum,ENG,View of Penzance from Lariggan,View of Penzance looking towards the sea at Wherrytown.,1801,1900,Unknown Artist,,Landscapes & Seascapes,"townscapes,coasts,cows",View Penzance Lariggan
TWW0000009243,Penlee House Gallery & Museum,ENG,Coastal scene with wrecked sailing vessel,,1801,1900,Unknown Artist,,Landscapes & Seascapes,"seascapes,cliffs,storms,boats",Coastal
TWW0000009244,Penlee House Gallery & Museum,ENG,Pendeen Manor,"Pencil and wash drawing of Pendeen Manor, Feb. 1899, the inner court looking westward.",1899,1899,Unknown Artist,,Buildings & Architecture,"stately homes,residential buildings,ruins",Pendeen Manor
TWW0000009245,Penlee House Gallery & Museum,ENG,A Lass that Loves a Sailor,,1893,1893,Walter Langley,1852-1922,Industries & Professions,"people,social life,beaches,fishing",A Lass Loves Sailor
TWW0000009246,Penlee House Gallery & Museum,ENG,Idle Moments,Watercolour of a girl sat on a windowsill.,1892,1892,Walter Langley,1852-1922,People & Society,"domestic life,leisure,interiors,fashion",Idle Moments
TWW0000009248,Penlee House Gallery & Museum,ENG,A Newlyn Fishwife,,1895,1895,Walter Langley,1852-1922,Industries & Professions,"people,social life,fishing,portraits",A Newlyn Fishwife
TWW0000009249,Penlee House Gallery & Museum,ENG,"Time Moveth Not, Our Being 'Tis That Moves",Watercolour of an old woman sitting at a table in deep thought. A book and her glasses are on the table.,1882,1882,Walter Langley,1852-1922,People & Society,"interiors,fashion","Time Moveth Not, Our Being 'Tis That Moves"
TWW0000009250,Penlee House Gallery & Museum,ENG,Absent Thoughts,"Three women sitting in a cottage front room, seemingly in deep thought.",1889,1889,Walter Langley,1852-1922,People & Society,interiors,Absent Thoughts
TWW0000009251,Penlee House Gallery & Museum,ENG,The Breadwinners / Newlyn Fishwives,,1852,1922,Walter Langley,1852-1922,Industries & Professions,"people,social life,ports,fishing",The Breadwinners / Newlyn Fishwives
