Unique_Identifier,Painting_Title,Painting_Title_Capitals,Clean_Title
TWW0000001373,"Barstaple's Almhouses, Trinity Hospital, Old Market","Barstaple's Almhouses, Trinity Hospital, Old Market",Barstaple's Almhouses Trinity Hospital Old Market
TWW0000001374,"Barstaple's Almhouses, Trinity Hospital, Old Market","Barstaple's Almhouses, Trinity Hospital, Old Market",Barstaple's Almhouses Trinity Hospital Old Market
TWW0000001375,"Barstaple's Almhouses, Trinity Hospital, Old Market","Barstaple's Almhouses, Trinity Hospital, Old Market",Barstaple's Almhouses Trinity Hospital Old Market
TWW0000001376,"Alderman Stephens' Almshouses, Old Market","Alderman Stephens' Almshouses, Old Market",Alderman Stephens' Almshouses Old Market
TWW0000001377,"Alderman Stephens' Almshouses, Old Market","Alderman Stephens' Almshouses, Old Market",Alderman Stephens' Almshouses Old Market
TWW0000001378,Trinity Chapel from Barstaple's Almhouses,Trinity Chapel Barstaple's Almhouses,Trinity Chapel Barstaple's Almhouses
TWW0000001379,St. Philip's from Slip at Temple Backs,St. Philip's Slip Temple Backs,St Philip's Slip Temple Backs
TWW0000001380,The Mouth of Castle Ditch,The Mouth Castle Ditch,Mouth Castle Ditch
TWW0000001381,Glasshouses in St Philip's,Glasshouses St Philip's,Glasshouses St Philip's
TWW0000001382,New Gas Works,New Gas Works,New Gas Works
TWW0000001383,"Entrance to the Pied Poudre Court, and the 'Stag and Hounds', Old Market","Entrance Pied Poudre Court, 'Stag Hounds', Old Market",Pied Poudre Court 'Stag Hounds' Old Market
TWW0000001384,Mary-le-Port Church,Mary-le-Port Church,Mary le Port Church
TWW0000001385,Corner of High Street and Mary-le-Port Street,Corner High Street Mary-le-Port Street,Corner High Street Mary le Port Street
TWW0000001386,Old Houses adjoining Mary-le-Port Church,Old Houses Mary-le-Port Church,Old Houses Mary le Port Church
TWW0000009242,View of Penzance from Lariggan,View Penzance Lariggan,Penzance Lariggan
TWW0000009243,Coastal scene with wrecked sailing vessel,Coastal,Coastal
TWW0000009244,Pendeen Manor,Pendeen Manor,Pendeen Manor
TWW0000009245,A Lass that Loves a Sailor,A Lass Loves Sailor,Lass Loves Sailor
TWW0000009246,Idle Moments,Idle Moments,Idle Moments
TWW0000009248,A Newlyn Fishwife,A Newlyn Fishwife,Newlyn Fishwife
TWW0000009249,"Time Moveth Not, Our Being 'Tis That Moves","Time Moveth Not, Our Being 'Tis That Moves",Time Moveth Not Our Being 'Tis That Moves
TWW0000009250,Absent Thoughts,Absent Thoughts,Absent Thoughts
TWW0000009251,The Breadwinners / Newlyn Fishwives,The Breadwinners / Newlyn Fishwives,Breadwinners Newlyn Fishwives
TWW0000009252,Departure of the Fleet for the North,Departure Fleet North,Departure Fleet North
TWW0000009253,Among the Missing,Among Missing,Among Missing
TWW0000009254,Cottage Steps Newlyn,Cottage Steps Newlyn,Cottage Steps Newlyn
TWW0000000085,Hartsop,Hartsop,Hartsop
TWW0000000086,The Vale of St. John towards Skiddaw,The Vale St. John Skiddaw,Vale St John Skiddaw
TWW0000000087,Entry into Borrowdale,Entry Borrowdale,Entry Borrowdale
TWW0000000088,Loweswater From the West,Loweswater From West,Loweswater West
TWW0000000089,"Bowderstone, Cumberland","Bowderstone, Cumberland",Bowderstone Cumberland
TWW0000000090,Derwentwater Above Keswick,Derwentwater Above Keswick,Derwentwater Above Keswick
TWW0000000091,Derwentwater From Castle Crag,Derwentwater From Castle Crag,Derwentwater Castle Crag
TWW0000000092,Elterwater,Elterwater,Elterwater
TWW0000000093,Langdale Pikes From Lowwood,Langdale Pikes From Lowwood,Langdale Pikes Lowwood
TWW0000000094,"Horseman with Cattle, Ullswater","Horseman Cattle, Ullswater",Horseman Cattle Ullswater
TWW0000000095,Kirby Lonsdale,Kirby Lonsdale,Kirby Lonsdale
TWW0000000096,Bridge House,Bridge House,Bridge House
TWW0000000097,Borrowdale,Borrowdale,Borrowdale
TWW0000000098,Grasmere Lake,Grasmere Lake,Grasmere Lake
TWW0000006539,"Sunset on the Chain of Alps Seen from Mount Pilatus Near Lucerne, Switzerland","Sunset Chain Alps Seen Mount Pilatus Near Lucerne, Switzerland",Chain Alps Seen Mount Pilatus Lucerne Switzerland
TWW0000006540,"The Shadow of the Rock of Tiberius, Capri","The Shadow Rock Tiberius, Capri",Shadow Rock Tiberius Capri
TWW0000006541,"View of Mt. Eiger from the Mountain Side at Muerren, Switzerland","View Mt. Eiger Mountain Side Muerren, Switzerland",Mt Eiger Mountain Muerren Switzerland
TWW0000006542,The Village of Gawsworth,The Village Gawsworth,Village Gawsworth
TWW0000006543,Coast scene,Coast,Coast
TWW0000006544,"Moorland, Near Loch Achray","Moorland, Near Loch Achray",Moorland Loch Achray
